experiment_id,phase,objective,dataset,model,configuration,device,metrics_artifact,status,result_summary,failure_explanation
V3-E00,V3-P00-P02,Recovery and access audit,environment,preflight,configs/v3/extension_gates.json,CPU/GPU probe,reports/v3/RECOVERY.md,COMPLETE,Recovered in place; external access decisions preserved,
V3-E03,V3-P03,Execute and verify Docker stack,runtime,Compose services,configs/v3/docker-compose.yml,Docker Desktop,artifacts/v3/docker/stack_validation.json,COMPLETE,All required services healthy,Initial Docker Hub MinIO pull failed; pinned Quay references succeeded
V3-E04,V3-P04,Verify MLflow persistence,runtime,MLflow 3.4.0,PostgreSQL+MinIO,Docker Desktop,artifacts/v3/docker/mlflow_persistence.json,COMPLETE,Metadata in PostgreSQL and artifact in MinIO,
V3-E05,V3-P05,Infrastructure fault recovery,runtime,Redis/PostgreSQL/MinIO,controlled stop/start,Docker Desktop,artifacts/v3/docker/fault_recovery.json,COMPLETE_WITH_LIMITATION,3/3 service recovery probes passed,Redis is not the preserved application transport
V3-E06-CACHED,V3-P09,Cached route load,synthetic,regex,concurrency 1/2/4/8,CPU,artifacts/v3/runtime/load_cached.json,COMPLETE_PRESERVED,0 errors across all levels,
V3-E06-GPU,V3-P09,Donut route load,CORD development,Donut,corrected unique inputs,CUDA,artifacts/v3/runtime/load_gpu.json,COMPLETE_PRESERVED,Corrected GPU benchmark,
V3-E06-GPU-INVALID,V3-P09,Donut route load,CORD development,Donut,deduplicated requests,CUDA,artifacts/v3/runtime/load_gpu_invalid_deduplicated.json,INVALID_PRESERVED,Excluded from comparison,Idempotency caused duplicate collapse
V3-E07,V3-P05,Executable local fault study,synthetic,runtime,7 cases,CPU,artifacts/v3/runtime/fault_study.json,COMPLETE_PRESERVED,7/7 passed,
V3-E08,V3-P07,PaddleOCR-VL accelerated serving,CORD validation sample,PaddleOCR-VL-1.6-0.9B,Docker/vLLM,CUDA,artifacts/v3/serving/paddleocr_vllm_comparison.json,COMPLETE,Compared with same native sample,
V3-E09,V3-P08,Expanded adversarial benchmark,24 deterministic probes,boundary controls,capability isolation,CPU,artifacts/v3/security/adversarial_benchmark.json,COMPLETE,Boundary and capability isolation passed; misses retained,
V3-E10,V3-P10-P11,Statistics and extension decision,V3 evidence,packager,unchanged extension gates,CPU,artifacts/v3/statistics/summary.json,COMPLETE,V3_EXTENSION_SUCCESS,
