document_id,gt_rows,predicted_rows,E0_path_occurrence_precision,E0_path_occurrence_recall,E0_path_occurrence_f1,E1_positional_row_precision,E1_positional_row_recall,E1_positional_row_f1,E2_matched_rows,E2_matched_row_precision,E2_matched_row_recall,E2_matched_row_f1,E2_row_exact_matches,E2_row_exact_match_rate,E2_matched_field_precision,E2_matched_field_recall,E2_matched_field_micro_f1,item_name_f1,item_price_f1,quantity_f1,unit_price_f1,row_permutation_only,row_semantic_association_error,row_missing_error,row_spurious_error,row_structure_failure,monetary_association_error_count,missing_item_price_count,spurious_item_price_count,incorrect_item_price_count,unmatched_gt_rows,spurious_predicted_rows,strict_matching_weight,optimal_matching_weight
cord-v2-validation-00000,3,3,1.0,1.0,1.0,1.0,1.0,1.0,3,1.0,1.0,1.0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,False,0,0,0,0,0,0,12.0,12.0
cord-v2-validation-00001,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,False,0,0,0,0,0,0,4.0,4.0
cord-v2-validation-00002,1,1,0.6,0.6,0.6,0.6,0.6,0.6,1,1.0,1.0,1.0,0,0.0,0.6,0.6,0.6,0.0,1.0,1.0,1.0,False,False,False,False,False,0,0,0,0,0,0,5.0,5.0
cord-v2-validation-00003,1,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1,1.0,1.0,1.0,0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,1.0,1.0,1.0,False,False,False,False,False,0,0,0,0,0,0,7.0,7.0
cord-v2-validation-00004,1,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1,1.0,1.0,1.0,0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5,1.0,1.0,1.0,False,False,False,False,False,0,0,0,0,0,0,7.0,7.0
cord-v2-validation-00005,1,1,1.0,0.6666666666666666,0.8,1.0,0.6666666666666666,0.8,1,1.0,1.0,1.0,0,0.0,1.0,0.6666666666666666,0.8,1.0,1.0,0.0,1.0,False,False,False,False,False,0,0,0,0,0,0,3.0,3.0
cord-v2-validation-00006,3,3,1.0,1.0,1.0,1.0,1.0,1.0,3,1.0,1.0,1.0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,False,0,0,0,0,0,0,12.0,12.0
cord-v2-validation-00007,1,2,0.6,0.75,0.6666666666666665,0.6,0.75,0.6666666666666665,1,0.5,1.0,0.6666666666666666,0,0.0,1.0,0.75,0.8571428571428571,1.0,1.0,1.0,1.0,False,False,False,True,True,0,0,1,0,0,1,4.0,4.0
cord-v2-validation-00008,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0,1.0,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,False,0,0,0,0,0,0,12.5,12.5
cord-v2-validation-00009,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,1.0,1.0,1.0,0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.0,1.0,1.0,False,False,False,False,False,0,0,0,1,0,0,2.0,2.0
