experiment_id,phase,objective,dataset,split,model,model_revision,seed,device,precision,batch_size,peak_vram_mib,runtime_seconds,prediction_artifact,metrics_artifact,status,result_summary,failure_explanation
V2-E00,V2-P01-P03,Environment and provenance,environment,n/a,CUDA preflight,torch-2.14.0+cu130,20260911,RTX 4090 Laptop GPU,FP32,1,214,0.175351,,artifacts/v2/environment/gpu_preflight.json,COMPLETE,Actual CUDA GEMM passed; sandbox isolation diagnosed,
V2-E01,V2-P04,CORD integrity/conversion,CORD v2,all,n/a,7f0115a4b758a71d6473b8d085751692da2fef98,20260911,CPU,n/a,n/a,n/a,236,,artifacts/v2/data/cord_audit.json,COMPLETE,1000 canonical records/images verified,Initial image decoder rejected byte mapping; corrected before evaluation
V2-E02,V2-P05,FUNSD integrity/conversion,FUNSD,all,n/a,official-2019-07-05,20260911,CPU,n/a,n/a,n/a,1,,artifacts/v2/data/funsd_audit.json,COMPLETE,199 canonical records/images verified,
V2-E03,V2-P07,Rendered synthetic generation,R-FDI Synthetic V2,train/dev,n/a,v2.0.0,20260911,CPU,n/a,n/a,n/a,43,,artifacts/v2/data/synthetic_audit.json,COMPLETE,400 audited development records; 438 verified pages; 8784 line-item cell boxes; split-specific geometry,
V2-E04,V2-P08,OCR benchmark,CORD v2,validation,PP-OCRv5 server det+rec,PaddleOCR-3.3.2/Paddle-3.3.0,20260911,RTX 4090 Laptop GPU,FP32,1,4751,160.675,artifacts/v2/results/paddleocr_development.json,artifacts/v2/results/paddleocr_development.json,COMPLETE,CER 0.1680; WER 0.3479; total exact match 0.5306 on 98 evaluable receipts,Tesseract unavailable because system installation requires interactive sudo
V2-E05,V2-P09,B0/B1 benchmark,R-FDI Synthetic V2,train/dev,PP-OCRv5+rules/TF-IDF,paddleocr-3.7.0,20260911,RTX 4090 Laptop GPU,FP32,1,885,206.766,artifacts/v2/results/synthetic_ocr_development.json,artifacts/v2/results/synthetic_ocr_development.json,COMPLETE,Field recall 0.9192; total exact 0.94; TF-IDF document macro-F1 0.8999 over 100 truly template/vendor-disjoint dev documents,
V2-E06,V2-P10,Layout-aware baseline,FUNSD,official train dev holdout,LayoutLMv3,cfbbbff0762e6aab37086fdd4739ad14fe7d5db4,20260911,RTX 4090 Laptop GPU,FP16 autocast,2,3904,137.404,artifacts/v2/results/layoutlmv3_development.json,artifacts/v2/results/layoutlmv3_development.json,COMPLETE,Macro-F1 0.6727 and token accuracy 0.7213 over 4811 dev tokens,
V2-E07,V2-P11,OCR-free baseline,CORD v2,validation,Donut CORD v2,8003d433113256b4ce3a0f5bf604b29ff78a7451,20260911,RTX 4090 Laptop GPU,FP16,1,812,256.803,artifacts/v2/results/donut_development.json,artifacts/v2/results/donut_development.json,COMPLETE,Normalized leaf F1 0.8800; document exact match 0.44; total exact match 1.0 over 100 receipts; sequence confidence stored,
V2-E08,V2-P12,Document VLM,CORD v2,development,PaddleOCR-VL-1.6,c5630abae1d940eafe0697512a0325494b02ab42,20260911,RTX 4090 Laptop GPU,native backend default,1,6023,408.072,artifacts/v2/results/paddleocr_vl_development.json,artifacts/v2/results/paddleocr_vl_development.json,COMPLETE,Whole-image content-presence recall 0.8919 and total presence 0.90 on 20 receipts,Initial PaddleOCR 3.3.2 lacked v1.6; page-layout native pilot exceeded five minutes; Transformers routes had version incompatibilities; PaddleOCR 3.7.0 whole-image native mode completed
V2-E09,V2-P13,General VLM,CORD/synthetic,development,Qwen3-VL-4B-Instruct,ebb281ec70b05090aa6165b016eac8ec08e71b17,20260911,RTX 4090 Laptop GPU,BF16,1,11079,813.676,artifacts/v2/results/qwen3vl_development.json,artifacts/v2/results/qwen3vl_development.json,COMPLETE,53/53 compatible CORD fields exact on 20 receipts; 6/6 attacked pairs retained structured integrity with zero output deviations,One recoverable allocator warning occurred during pilot; no external action tools were exposed
V2-E10,V2-P14,Reliability/routing/HITL,CORD v2,validation odd/even development partition,PaddleOCR+Donut,development revisions,20260911,mixed,mixed,1,mixed,n/a,artifacts/v2/results/reliability_development.json,artifacts/v2/results/reliability_development.json,COMPLETE,Isotonic reduced Paddle total ECE 0.3146 to 0.0295; cost-sensitive cascade selected Donut for all evaluation documents and added latency; HITL policies compared,
V2-E12,V2-P14,Financial reconciliation,R-FDI Synthetic V2,development,deterministic rules,v2,20260911,CPU,n/a,n/a,n/a,n/a,,artifacts/v2/results/reconciliation_development.json,COMPLETE,100/100 injected business corruptions detected with no valid-case false positives; 1/3 high-confidence OCR total errors caught,
V2-E13,V2-P14,OOD and downstream review,R-FDI Synthetic V2,development,Mahalanobis/IsolationForest,sklearn,20260911,CPU,FP64,n/a,n/a,n/a,,artifacts/v2/results/ood_development.json,COMPLETE,Mahalanobis AUROC 0.5013 and AUPRC 0.8988; confidence-only review outperformed OOD-first at 20% budget,
V2-E14,V2-P14,Synthetic scaling and transfer,R-FDI Synthetic V2/CORD v2,development,TF-IDF logistic regression,sklearn,20260911,CPU,FP64,n/a,n/a,n/a,,artifacts/v2/results/scaling_transfer_development.json,COMPLETE,Synthetic dev macro-F1 rose 0.3575 to 0.9700 from 25 to 150 samples; synthetic-to-CORD receipt accuracy only 0.11,
V2-E15,V2-P14,Latency throughput VRAM,multi-dataset,development,multi-model,measured revisions,20260911,RTX 4090 Laptop GPU,mixed,1,mixed,n/a,,artifacts/v2/results/performance_development.json,COMPLETE,Five model/runtime routes summarized; two-heavy-job concurrency rejected by configured headroom and absent throughput validation,
V2-E16,V2-P14,Required ablation,multi-dataset,development,multi-component,development revisions,20260911,mixed,mixed,n/a,n/a,n/a,,artifacts/v2/results/ablation_development.json,COMPLETE,All six required component-scoped conditions evaluated without pooling incompatible task metrics,
V2-E17,V2-P06-P14,EDA and leakage,CORD/FUNSD/synthetic,development plus locked aggregate audit,hash/dHash/text Jaccard,v2,20260911,CPU,n/a,n/a,n/a,n/a,,artifacts/v2/data/eda_leakage.json,COMPLETE,Zero exact cross-split image overlaps; official CORD has 7 exact normalized train-test text overlaps; corrected synthetic has split-specific geometry,
V2-E19,V2-P14,Prompt injection security,R-FDI Synthetic V2,development,Qwen3-VL+independent OCR detector,development revisions,20260911,mixed,BF16/FP32,1,8901,185.714,artifacts/v2/results/security_development.json,artifacts/v2/results/security_development.json,COMPLETE,Detector activated on 4/6 attacks; VLM structured integrity 6/6; zero output deviations/schema failures; actions architecturally unavailable,
