document_id,dataset,split,model,field_path,field_family,criticality,occurrence,truth,prediction,truth_present,prediction_present,exact_match,error_type,severity_weight
cord-v2-validation-00002,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,0,s-ovaltine 50%,s-ovaltine,True,True,False,partial string mismatch,2
cord-v2-validation-00002,CORD v2,validation,Donut,menu.sub.nm,free_text,medium_impact,0,,50%,False,True,False,spurious field,5
cord-v2-validation-00002,CORD v2,validation,Donut,menu.vatyn,free_text,medium_impact,0,10% tax included,,True,False,False,missing field,5
cord-v2-validation-00003,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,0,m-caramel black tea,m-carame 1 black tea,True,True,False,incorrect value,2
cord-v2-validation-00004,CORD v2,validation,Donut,menu.sub.nm,free_text,medium_impact,0,sedang,- sedang,True,True,False,partial string mismatch,5
cord-v2-validation-00004,CORD v2,validation,Donut,total.changeprice,other_numeric,medium_impact,0,":9,000","9,000",True,True,False,numeric normalization,5
cord-v2-validation-00005,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,0,1.00,,True,False,False,missing field,5
cord-v2-validation-00007,CORD v2,validation,Donut,menu.discountprice,other_numeric,medium_impact,0,"-9,545",,True,False,False,missing field,5
cord-v2-validation-00007,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,1,,cp 360 club card,False,True,False,spurious field,2
cord-v2-validation-00007,CORD v2,validation,Donut,menu.price,item_price,critical_monetary,1,,"-9,545",False,True,False,spurious field,10
cord-v2-validation-00009,CORD v2,validation,Donut,menu.price,item_price,critical_monetary,0,"20,000",20.000,True,True,False,numeric normalization,10
cord-v2-validation-00009,CORD v2,validation,Donut,total.cashprice,other_numeric,medium_impact,0,"20,000",20.000,True,True,False,numeric normalization,5
cord-v2-validation-00009,CORD v2,validation,Donut,total.total_price,total,critical_monetary,0,"20,000",20.000,True,True,False,numeric normalization,10
cord-v2-validation-00010,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,0,serbu 1,serbu,True,True,False,partial string mismatch,2
cord-v2-validation-00011,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,1,se'i sapi lada hitam (j),se'i s-pi lada hitam (j),True,True,False,incorrect value,2
cord-v2-validation-00014,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,0,2 x,2x,True,True,False,numeric normalization,5
cord-v2-validation-00014,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,1,1 x,1x,True,True,False,numeric normalization,5
cord-v2-validation-00014,CORD v2,validation,Donut,menu.unitprice,other_numeric,medium_impact,0,@ 12.000,@12.000,True,True,False,numeric normalization,5
cord-v2-validation-00014,CORD v2,validation,Donut,menu.unitprice,other_numeric,medium_impact,1,@ 12.000,@12.000,True,True,False,numeric normalization,5
cord-v2-validation-00017,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,0,1,1 x,True,True,False,numeric normalization,5
cord-v2-validation-00017,CORD v2,validation,Donut,total.changeprice,other_numeric,medium_impact,0,80.000,"80,000",True,True,False,numeric normalization,5
cord-v2-validation-00021,CORD v2,validation,Donut,menu.price,item_price,critical_monetary,3,"-rp 34,363","- rp 34,363",True,True,False,numeric normalization,10
cord-v2-validation-00022,CORD v2,validation,Donut,menu.sub.cnt,other_numeric,medium_impact,0,.5,5,True,True,False,numeric normalization,5
cord-v2-validation-00025,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,0,1prs,1,True,True,False,numeric normalization,5
cord-v2-validation-00025,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,1,1prs,1,True,True,False,numeric normalization,5
cord-v2-validation-00025,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,2,1prs,1,True,True,False,numeric normalization,5
cord-v2-validation-00025,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,3,1prs,1,True,True,False,numeric normalization,5
cord-v2-validation-00025,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,4,1prs,1,True,True,False,numeric normalization,5
cord-v2-validation-00025,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,5,1prs,1,True,True,False,numeric normalization,5
cord-v2-validation-00025,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,6,1gls,1,True,True,False,numeric normalization,5
cord-v2-validation-00025,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,5,mie trsi kgkung,mie kgkung trsi,True,True,False,incorrect value,2
cord-v2-validation-00027,CORD v2,validation,Donut,menu.price,item_price,critical_monetary,0,16.363,"16,363",True,True,False,numeric normalization,10
cord-v2-validation-00029,CORD v2,validation,Donut,sub_total.discount_price,other_numeric,critical_monetary,0,discount(0%),,True,False,False,missing field,10
cord-v2-validation-00030,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,0,redbean bre/d,redbean bread,True,True,False,incorrect value,2
cord-v2-validation-00030,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,1,frankfrut s/usage roll,frankfrut sausage roll,True,True,False,incorrect value,2
cord-v2-validation-00033,CORD v2,validation,Donut,sub_total.subtotal_price,subtotal,critical_monetary,0,,"57,500",False,True,False,spurious field,10
cord-v2-validation-00033,CORD v2,validation,Donut,total.cashprice,other_numeric,medium_impact,0,"7,500","50,000",True,True,False,incorrect value,5
cord-v2-validation-00033,CORD v2,validation,Donut,total.total_etc,other_numeric,medium_impact,0,"50,000",,True,False,False,missing field,5
cord-v2-validation-00034,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,0,grilled baby potato (r,grilled baby potato ( r,True,True,False,incorrect value,2
cord-v2-validation-00034,CORD v2,validation,Donut,total.creditcardprice,other_numeric,medium_impact,1,5962,,True,False,False,missing field,5
