document_id,dataset,split,model,field_path,field_family,criticality,occurrence,truth,prediction,truth_present,prediction_present,exact_match
cord-v2-validation-00000,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,0,1,1,True,True,True
cord-v2-validation-00000,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,1,1,1,True,True,True
cord-v2-validation-00000,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,2,1,1,True,True,True
cord-v2-validation-00000,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,0,real ganache,real ganache,True,True,True
cord-v2-validation-00000,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,1,egg tart,egg tart,True,True,True
cord-v2-validation-00000,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,2,pizza toast,pizza toast,True,True,True
cord-v2-validation-00000,CORD v2,validation,Donut,menu.price,item_price,critical_monetary,0,"16,500","16,500",True,True,True
cord-v2-validation-00000,CORD v2,validation,Donut,menu.price,item_price,critical_monetary,1,"13,000","13,000",True,True,True
cord-v2-validation-00000,CORD v2,validation,Donut,menu.price,item_price,critical_monetary,2,"16,000","16,000",True,True,True
cord-v2-validation-00000,CORD v2,validation,Donut,total.cashprice,other_numeric,medium_impact,0,"50,000","50,000",True,True,True
cord-v2-validation-00000,CORD v2,validation,Donut,total.changeprice,other_numeric,medium_impact,0,"4,500","4,500",True,True,True
cord-v2-validation-00000,CORD v2,validation,Donut,total.total_price,total,critical_monetary,0,"45,500","45,500",True,True,True
cord-v2-validation-00001,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,0,1,1,True,True,True
cord-v2-validation-00001,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,0,kopi susu kolonel,kopi susu kolonel,True,True,True
cord-v2-validation-00001,CORD v2,validation,Donut,menu.price,item_price,critical_monetary,0,23.000,23.000,True,True,True
cord-v2-validation-00001,CORD v2,validation,Donut,total.cashprice,other_numeric,medium_impact,0,50.000,50.000,True,True,True
cord-v2-validation-00001,CORD v2,validation,Donut,total.changeprice,other_numeric,medium_impact,0,27.000,27.000,True,True,True
cord-v2-validation-00001,CORD v2,validation,Donut,total.total_price,total,critical_monetary,0,23.000,23.000,True,True,True
cord-v2-validation-00002,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,0,1,1,True,True,True
cord-v2-validation-00002,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,0,s-ovaltine 50%,s-ovaltine,True,True,False
cord-v2-validation-00002,CORD v2,validation,Donut,menu.price,item_price,critical_monetary,0,"20,000","20,000",True,True,True
cord-v2-validation-00002,CORD v2,validation,Donut,menu.sub.nm,free_text,medium_impact,0,,50%,False,True,False
cord-v2-validation-00002,CORD v2,validation,Donut,menu.unitprice,other_numeric,medium_impact,0,"20,000","20,000",True,True,True
cord-v2-validation-00002,CORD v2,validation,Donut,menu.vatyn,free_text,medium_impact,0,10% tax included,,True,False,False
cord-v2-validation-00002,CORD v2,validation,Donut,sub_total.subtotal_price,subtotal,critical_monetary,0,"18,181","18,181",True,True,True
cord-v2-validation-00002,CORD v2,validation,Donut,sub_total.tax_price,tax,critical_monetary,0,"1,818","1,818",True,True,True
cord-v2-validation-00002,CORD v2,validation,Donut,total.cashprice,other_numeric,medium_impact,0,"100,000","100,000",True,True,True
cord-v2-validation-00002,CORD v2,validation,Donut,total.changeprice,other_numeric,medium_impact,0,"80,000","80,000",True,True,True
cord-v2-validation-00002,CORD v2,validation,Donut,total.total_price,total,critical_monetary,0,"20,000","20,000",True,True,True
cord-v2-validation-00003,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,0,1x,1x,True,True,True
cord-v2-validation-00003,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,0,m-caramel black tea,m-carame 1 black tea,True,True,False
cord-v2-validation-00003,CORD v2,validation,Donut,menu.price,item_price,critical_monetary,0,"28,000","28,000",True,True,True
cord-v2-validation-00003,CORD v2,validation,Donut,menu.sub.nm,free_text,medium_impact,0,70%,70%,True,True,True
cord-v2-validation-00003,CORD v2,validation,Donut,menu.sub.nm,free_text,medium_impact,1,less ice,less ice,True,True,True
cord-v2-validation-00003,CORD v2,validation,Donut,menu.unitprice,other_numeric,medium_impact,0,"@28,000","@28,000",True,True,True
cord-v2-validation-00003,CORD v2,validation,Donut,sub_total.subtotal_price,subtotal,critical_monetary,0,"28,000","28,000",True,True,True
cord-v2-validation-00003,CORD v2,validation,Donut,sub_total.tax_price,tax,critical_monetary,0,0,0,True,True,True
cord-v2-validation-00003,CORD v2,validation,Donut,total.cashprice,other_numeric,medium_impact,0,"28,000","28,000",True,True,True
cord-v2-validation-00003,CORD v2,validation,Donut,total.changeprice,other_numeric,medium_impact,0,0,0,True,True,True
cord-v2-validation-00003,CORD v2,validation,Donut,total.total_price,total,critical_monetary,0,"28,000","28,000",True,True,True
cord-v2-validation-00004,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,0,1,1,True,True,True
cord-v2-validation-00004,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,0,bbq chicken,bbq chicken,True,True,True
cord-v2-validation-00004,CORD v2,validation,Donut,menu.price,item_price,critical_monetary,0,"41,000","41,000",True,True,True
cord-v2-validation-00004,CORD v2,validation,Donut,menu.sub.cnt,other_numeric,medium_impact,0,1,1,True,True,True
cord-v2-validation-00004,CORD v2,validation,Donut,menu.sub.nm,free_text,medium_impact,0,sedang,- sedang,True,True,False
cord-v2-validation-00004,CORD v2,validation,Donut,menu.sub.price,other_numeric,medium_impact,0,0,0,True,True,True
cord-v2-validation-00004,CORD v2,validation,Donut,sub_total.subtotal_price,subtotal,critical_monetary,0,"41,000","41,000",True,True,True
cord-v2-validation-00004,CORD v2,validation,Donut,total.cashprice,other_numeric,medium_impact,0,50.000,50.000,True,True,True
cord-v2-validation-00004,CORD v2,validation,Donut,total.changeprice,other_numeric,medium_impact,0,":9,000","9,000",True,True,False
cord-v2-validation-00004,CORD v2,validation,Donut,total.menuqty_cnt,other_numeric,low_impact_descriptive,0,1,1,True,True,True
cord-v2-validation-00004,CORD v2,validation,Donut,total.total_price,total,critical_monetary,0,"41,000","41,000",True,True,True
cord-v2-validation-00005,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,0,1.00,,True,False,False
cord-v2-validation-00005,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,0,le mineral,le mineral,True,True,True
cord-v2-validation-00005,CORD v2,validation,Donut,menu.price,item_price,critical_monetary,0,"8,000","8,000",True,True,True
cord-v2-validation-00005,CORD v2,validation,Donut,sub_total.subtotal_price,subtotal,critical_monetary,0,"7,273","7,273",True,True,True
cord-v2-validation-00005,CORD v2,validation,Donut,sub_total.tax_price,tax,critical_monetary,0,727,727,True,True,True
cord-v2-validation-00005,CORD v2,validation,Donut,total.cashprice,other_numeric,medium_impact,0,"8,000","8,000",True,True,True
cord-v2-validation-00005,CORD v2,validation,Donut,total.total_price,total,critical_monetary,0,"8,000","8,000",True,True,True
cord-v2-validation-00006,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,0,1,1,True,True,True
cord-v2-validation-00006,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,1,1,1,True,True,True
cord-v2-validation-00006,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,2,1,1,True,True,True
cord-v2-validation-00006,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,0,potato sausage bread,potato sausage bread,True,True,True
cord-v2-validation-00006,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,1,oreo green tea spread,oreo green tea spread,True,True,True
cord-v2-validation-00006,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,2,white choco banana spread,white choco banana spread,True,True,True
cord-v2-validation-00006,CORD v2,validation,Donut,menu.price,item_price,critical_monetary,0,"19,000","19,000",True,True,True
cord-v2-validation-00006,CORD v2,validation,Donut,menu.price,item_price,critical_monetary,1,"52,000","52,000",True,True,True
cord-v2-validation-00006,CORD v2,validation,Donut,menu.price,item_price,critical_monetary,2,"52,000","52,000",True,True,True
cord-v2-validation-00006,CORD v2,validation,Donut,total.creditcardprice,other_numeric,medium_impact,0,"123,000","123,000",True,True,True
cord-v2-validation-00006,CORD v2,validation,Donut,total.total_price,total,critical_monetary,0,"123,000","123,000",True,True,True
cord-v2-validation-00007,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,0,4,4,True,True,True
cord-v2-validation-00007,CORD v2,validation,Donut,menu.discountprice,other_numeric,medium_impact,0,"-9,545",,True,False,False
cord-v2-validation-00007,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,0,choco devil,choco devil,True,True,True
cord-v2-validation-00007,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,1,,cp 360 club card,False,True,False
